,query,semantic_search_results,bm25_search_results
10,13 inch chromebook,"ASUS Chromebook 17.3"" FHD Laptop Computer, Intel Celeron N4500 Processor up to 2.8GHz, 4GB LPDDR4 RA",Lex Altern Glitter Case Compatible with MacBook Air 13 inch Pro Mac 15 Retina 2020 2019 2018 Waterco
11,13 inch chromebook,"Acer Chromebook 311 11.6"" HD IPS (4GB RAM, 96GB Storage (32GB eMMC + 64GB SD Card), 8-Core MediaTek ",iCasso Macbook Pro 13 inch Case Rubber Coated Hard Shell Case For Macbook Pro 13 inch With CD-ROM Mo
12,13 inch chromebook,"Acer Chromebook 311 11.6"" HD IPS (4GB RAM, 96GB Storage (32GB eMMC + 64GB SD Card), 8-Core MediaTek ","Teryeefi Newest for MacBook Pro 16 Inch case 2021 Release Model A2485, Plastic Hard Shell Case with "
13,13 inch chromebook,"Acer Chromebook 314 Laptop | Intel Celeron N4020 | 14.0"" Full HD IPS Display | Intel UHD Graphics | ","MOSISO Laptop Shoulder Bag Compatible with 2019 2018 MacBook Air 13 inch Retina Display A1932, 13 in"
14,13 inch chromebook,"HP 15-de0021cl 15.6"" Full HD (Touch) Chromebook, Intel Core i3-8130U, 2.20GHz, 4GB RAM, 128GB eMMC, ","Top & Bottom Anti Scratch Decal Sticker for 13.5"" Microsoft Surface Book 2 (2017 Released) Protectiv"
15,noise cancelling headphones,"YHhao Over-Ear Headphones, On-Ear Headsets Noise Cancelling Foldable Headphones with Mic and 3.5mm D",FORTECLEAR Bluetooth Headphones V5.3 with 13MM Microphone & Type-C Charging Case IPX7 Waterproof Dau
16,noise cancelling headphones,"HeadGear Noise Cancelling Headphones EB14-311X, Silver/Black (Discontinued by Manufacturer)","zenalla SE7 Bluetooth Headphones Active Noise Cancelling Headphones, Over Ear Wireless CVC Clear Cal"
17,noise cancelling headphones,Qaekie Active Noise Cancelling Headphones - 100H Playtime Wireless Over Ear Bluetooth Headphones Dee,"QearFun Headphones for Girls Kids for School,Cool Kids Wired Headphones with Microphone&3.5mm Jack,T"
18,noise cancelling headphones,August Over Ear Bluetooth Wireless Noise Cancelling Headphones - EP765 Enjoy Bass Rich Sound and Opt,gn netcom 1983-820-105 biz1920 mono noise cancelling qd connect noise cancel mic
19,noise cancelling headphones,"zenalla SE7 Bluetooth Headphones Active Noise Cancelling Headphones, Over Ear Wireless CVC Clear Cal",Qaekie Active Noise Cancelling Headphones - 100H Playtime Wireless Over Ear Bluetooth Headphones Dee
20,high performance work laptop,"ACEMAGIC Laptop 15.6 FHD 16GB DDR4 512GB SSD, Intel Quad-Core 12th Alder Lake N95(Up to 3.4GHz) Lapt","Windows 11 Laptop,13.5 Inch Pentium J3710 Quad core, 4GB RAM+128GB SSD, Thin & Light Notebook PC,300"
21,high performance work laptop,"Lenovo ThinkPad L14 Gen2 Business Laptop, 14"" FHD Touchscreen, Intel Core i5-1135G7 Processor, 20GB ",Microsoft Surface 3 (AT&T + T-Mobile) & Wi-Fi 64GB 10.8-inch Tablet Computer (Renewed)
22,high performance work laptop,"Newest HP Pavilion Laptop, 15.6"" HD LED Display, AMD Dual-Core Processor, AMD Radeon Graphics, HDMI,",Andrea Electronics USB-MA USB Sound Card with Noise Reduction Technology + Andrea 2S Array Microphon
23,high performance work laptop,"2019 Lenovo ThinkPad X1 Carbon 14"" FHD Business Ultrabook Laptop Computer: Intel Core i5-6200U Up to","Gigabyte Z690 UD DDR4 ATX Motherboard - Supports 12th Gen Intel Core Processors (LGA 1700), DDR4-533"
24,high performance work laptop,"Dell XPS15-9168sLV 15-Inch Laptop (2.5 GHz Intel Core i5-3210M Processor, 6GB DIMM, 500GB HDD, 32GB ",Intel PWLA8391GT PRO/1000 GT PCI Network Adapter
25,super fast wireless charger,"ASAITEKE Compatible with Phone to HDMI Adapter Cable, Digital AV Adapter 1080p HD TV Connector Cord ",YCMY 3Pcs/Lot 0.3m 1m 1.5m 5A USB C Cable Supercharge USB Type C Cable Quick Charging Fast Charger C
26,super fast wireless charger,Psier Wireless Earbuds Sports Wireless Headphones 4 Mic Clear Calls 60H Playtime Ear buds Supports W,"ASAITEKE Compatible with Phone to HDMI Adapter Cable, Digital AV Adapter 1080p HD TV Connector Cord "
27,super fast wireless charger,iPhone Charger[Apple MFi Certified] 6Pack（3/3/6/6/6/10 FT） Lightning Cable Power Fast Charging Cord ,"6.6ft iPhone Charger Cable, 2 Pack [MFi Certified] LED Light up Charger Lightning Cable, Visible Flo"
28,super fast wireless charger,"USB Mini Cable Mini USB 2.0 Cable with Extra Charger, USB Mini B Cord Mini USB Charger Cable Compati","6.6ft iPhone Charger Cable, 2 Pack [MFi Certified] LED Light up Charger Lightning Cable, Visible Flo"
29,super fast wireless charger,iPhone Charger [Apple MFi Certified] 4Pack 3ft 6ft 6ft 10ft iPhone Charging Cables Nylon Braided Lon,"ASAITEKE Compatible with Phone to HDMI Adapter Cable, Digital AV Adapter 1080p HD TV Connector Cord "
30,battery pack for charging laptops,"LOVEVOOK Laptop Backpack for Women, Business Travel Backpacks with USB Port, Water Resistant Work Te",4Series High Current Li ion Lithium Battery 18650 Charger Protection Board Module 14.4V 14.8V 16.8V
31,battery pack for charging laptops,CYD 65W 19.5V Laptop Charger Compatible for HP Laptop Charger 640 G2 650 G2 430 G3 440 G3 450 G3 455,"Canon EOS 5D Mark IV Digital SLR Camera Body with Pro Camera Battery Grip, Professional TTL Flash, D"
32,battery pack for charging laptops,Business Laptop Backpack 15.6 inch with USB Charging Port Waterproof Travel Anti Theft Daypack Colle,"Asyoren Fanny Pack with Bluetooth Speaker, Portable Bluetooth Speakers, 10W Louder Volume, Crystal C"
33,battery pack for charging laptops,"MXV9V Laptop Battery Replacement for Dell Latitude 7400 7300 E7400 E7300, Latitude 5300 5310 2-in-1,","Battery Base for Echo 4th Generation（NOT Echo dot, Cirtek Portable Alexa Echo Battery Base,Large Cap"
34,battery pack for charging laptops,"CERRXIAN 100W PD USB Type C Female Input to Slim tip Male Power Charging Adapter for Yoga 260 370,T4","Kastar 2 Pack Battery and LCD USB Charger Compatible with Casio NP-90 NP-90DBA Battery, BC-90L Charg"
35,extension cord for usb-a to usb-c,"Poyiccot USB Type C Extension Cable 6ft / 1.8m, Type C Extender Cord USB 3.1(10gbps) Male to Female ","SooPii Coiled USB C Cable, 100W USB C to USB C Cable Fast Charge, 6FT Nylon Braided Type-C Cable wit"
36,extension cord for usb-a to usb-c,"Poyiccot USB Type C Extension Cable 6ft / 1.8m, Type C Extender Cord USB 3.1(10gbps) Male to Female ","Phone Cord Detangler,Glian 2 Pack Telephone Handset Cord 1.5 Ft Coiled 10Ft Uncoiled and 2 Pack 360 "
37,extension cord for usb-a to usb-c,"Nautica USB C to USB C Cable, USB C Cord, Fast Power, Phone Charger, Type C Charger, Charging Cord f",UL Listed 8ft Polarized Power Cord for Brother XR9500PRW LB6800 CS5055PRW L15 L25 L35 LS30 LS40 NS40
38,extension cord for usb-a to usb-c,"TetherPro USB-C to USB Female Adapter (Extender), 15' (4.6m) (Black)","NEORTX RJ11 to RJ11 Cable 6.5ft, 2 Meters Phone Cord Telephone Line Extension Cord Cable Wire Male t"
39,extension cord for usb-a to usb-c,"SooPii Coiled USB C Cable, 100W USB C to USB C Cable Fast Charge, 6FT Nylon Braided Type-C Cable wit","UL Listed AC Power Cord Replacement for iRobot Roomba Home Charging Base E5 5150 5134 5176,E6 6134 6"
40,active noise cancelling bluetooth sony wm-1000xm4 headphones,Qaekie Active Noise Cancelling Headphones - 100H Playtime Wireless Over Ear Bluetooth Headphones Dee,FORTECLEAR Bluetooth Headphones V5.3 with 13MM Microphone & Type-C Charging Case IPX7 Waterproof Dau
41,active noise cancelling bluetooth sony wm-1000xm4 headphones,"zenalla SE7 Bluetooth Headphones Active Noise Cancelling Headphones, Over Ear Wireless CVC Clear Cal","zenalla SE7 Bluetooth Headphones Active Noise Cancelling Headphones, Over Ear Wireless CVC Clear Cal"
42,active noise cancelling bluetooth sony wm-1000xm4 headphones,"HeadGear Noise Cancelling Headphones EB14-311X, Silver/Black (Discontinued by Manufacturer)","HeadGear Noise Cancelling Headphones EB14-311X, Silver/Black (Discontinued by Manufacturer)"
43,active noise cancelling bluetooth sony wm-1000xm4 headphones,Qaekie Active Noise Cancelling Headphones - 100H Playtime Wireless Over Ear Bluetooth Headphones Dee,"zenalla SE7 Bluetooth Headphones Active Noise Cancelling Headphones, Over Ear Wireless CVC Clear Cal"
44,active noise cancelling bluetooth sony wm-1000xm4 headphones,"YHhao Over-Ear Headphones, On-Ear Headsets Noise Cancelling Foldable Headphones with Mic and 3.5mm D",Bluetooth headphones wireless neckband bluetooth headphones wireless earphones around the neck bluet
45,white gaming mouse for left handed people,alla Wired Mouse USB - 2 Pack Bundle Corded Mice Set Multipack for chromebook Laptop asus dell Lenov,alla Wired Mouse USB - 2 Pack Bundle Corded Mice Set Multipack for chromebook Laptop asus dell Lenov
46,white gaming mouse for left handed people,"Bluetooth Wireless Mouse,Rechargeable Silent Mice for Kid,Dual Mode Ladybug Portable Slim Cordless M","Wireless Mouse, Slim Silent Click Rechargeable 2.4G Wireless Mice 1600DPI Mini Optical Portable Trav"
47,white gaming mouse for left handed people,"hutishop2020 Wired Mouse, USB 2.0 Black Wired Optical Light Scroll Wheel Mice Mouse for Computer PC ","RATEL Wireless Mouse, 2.4G Ergonomic Computer Mouse for Laptop with USB Receiver, Portable Cordless "
48,white gaming mouse for left handed people,"H-Jia Wire Mouse, Gaming Mouse Ergonomic Optical Mouse, 7 Buttons, 4 Adjustable DPI 800/1600/2400/36","Uiosmuph G15 Wireless Mouse, USB C Rechargeable Computer Mouse, Slim Silent Mice 2.4GHz Optical with"
49,white gaming mouse for left handed people,alla Wired Mouse USB - 2 Pack Bundle Corded Mice Set Multipack for chromebook Laptop asus dell Lenov,VANGUARD ALTA Ph-123V Magnesium Alloy Tripod Video Head
