,query,semantic_search_results,bm25_search_results
37,extension cord for usb-a to usb-c,"ARKTEK USB-C to 3.5 mm Female Headphone Jack Adapter, USB C to Aux Audio Dongle Nylon Cable Cord Com","Kensington SD4500 USB-C Docking Station for 2015/2016 MacBook Retina 12”, Dell XPS 13” 9350/XPS 15” "
38,extension cord for usb-a to usb-c,"AINOPE USB C to USB C Cable,[2-Pack 10ft][Never Rupture] USB C Cable 60W 3.1A Type C Charger Cord Co","USB Type C Cable, Anker [2-Pack 6Ft] Premium Nylon USB-C to USB-A Fast Charging Type C Cable, for Sa"
39,extension cord for usb-a to usb-c,"iXCC Element 6 Feet Micro USB to USB 2.0 Charge and Sync Cable, USB A to Micro B Cable for Android/W","AINOPE USB C to USB C Cable,[2-Pack 10ft][Never Rupture] USB C Cable 60W 3.1A Type C Charger Cord Co"
40,active noise cancelling bluetooth sony wm-1000xm4 headphones,"Avantree ANC032 Active Noise Cancelling Headphones Over Ear with Microphone for Home Office, Confere","Avantree ANC032 Active Noise Cancelling Headphones Over Ear with Microphone for Home Office, Confere"
41,active noise cancelling bluetooth sony wm-1000xm4 headphones,DOBOPO Wireless Earbuds Bluetooth 5.3 Headphones 50Hrs Playtime Sports Earphones Over-Ear Earhooks H,"Wireless Earbud, Sport Bluetooth 5.3 Earbud with Earhook Wireless Earphones in-Ear with Immersive So"
42,active noise cancelling bluetooth sony wm-1000xm4 headphones,Jabra STONE Bluetooth Headset with Extreme-Noise Blocking (Discontinued by Manufacturer),"Wireless Earbuds,Bluetooth Headphones IPX7 Waterproof Wireless Bluetooth Earphone with Microphone Ch"
43,active noise cancelling bluetooth sony wm-1000xm4 headphones,"Wireless Earbuds,Bluetooth Headphones IPX7 Waterproof Wireless Bluetooth Earphone with Microphone Ch",Parrot Zik 2.0 Wireless Noise Cancelling Headphones (Black)
44,active noise cancelling bluetooth sony wm-1000xm4 headphones,SoundBot SB221 HD Wireless Bluetooth 4.0 Headset Sports-Active Headphone for 20Hrs Music Streaming &,House of Marley EM-DH003-PS TTR Noise-Cancelling Over-Ear Headphones (Black)
45,white gaming mouse for left handed people,Razer Naga MMO PC Gaming Mouse,"ELECOM EX-G Trackball Mouse, Wired, Thumb Control, Sculpted Ergonomic Design, 6-Button Function with"
46,white gaming mouse for left handed people,"Logitech Anywhere Mobile Mouse MX, Wireless Mouse for PC and Mac","Logitech Anywhere Mobile Mouse MX, Wireless Mouse for PC and Mac"
47,white gaming mouse for left handed people,"ELECOM EX-G Trackball Mouse, Wired, Thumb Control, Sculpted Ergonomic Design, 6-Button Function with",Razer Naga MMO PC Gaming Mouse
48,white gaming mouse for left handed people,"Rechargeable Vertical Mice Ergonomic Wireless Mouse, Vertical Mouse Ergonomic Design with 2.4G USB R","Zotech Bondidea N86 Wireless Mouse for PC and MAC. 6 Buttons, 3 Adjustable DPI Levels, 3200 DPI, 18-"
49,white gaming mouse for left handed people,Logitech mk620 Wireless Keyboard & Mouse Combo,"Rechargeable Vertical Mice Ergonomic Wireless Mouse, Vertical Mouse Ergonomic Design with 2.4G USB R"
