,query,semantic_search_results,bm25_search_results
10,high performance work laptop,"ACEMAGIC Laptop 15.6 FHD 16GB DDR4 512GB SSD, Intel Quad-Core 12th Alder Lake N95(Up to 3.4GHz) Lapt","Windows 11 Laptop,13.5 Inch Pentium J3710 Quad core, 4GB RAM+128GB SSD, Thin & Light Notebook PC,300"
11,high performance work laptop,"Lenovo ThinkPad L14 Gen2 Business Laptop, 14"" FHD Touchscreen, Intel Core i5-1135G7 Processor, 20GB ",Microsoft Surface 3 (AT&T + T-Mobile) & Wi-Fi 64GB 10.8-inch Tablet Computer (Renewed)
12,high performance work laptop,"Newest HP Pavilion Laptop, 15.6"" HD LED Display, AMD Dual-Core Processor, AMD Radeon Graphics, HDMI,",Andrea Electronics USB-MA USB Sound Card with Noise Reduction Technology + Andrea 2S Array Microphon
13,high performance work laptop,"2019 Lenovo ThinkPad X1 Carbon 14"" FHD Business Ultrabook Laptop Computer: Intel Core i5-6200U Up to","Gigabyte Z690 UD DDR4 ATX Motherboard - Supports 12th Gen Intel Core Processors (LGA 1700), DDR4-533"
14,high performance work laptop,"Dell XPS15-9168sLV 15-Inch Laptop (2.5 GHz Intel Core i5-3210M Processor, 6GB DIMM, 500GB HDD, 32GB ",Intel PWLA8391GT PRO/1000 GT PCI Network Adapter
15,super fast wireless charger,"ASAITEKE Compatible with Phone to HDMI Adapter Cable, Digital AV Adapter 1080p HD TV Connector Cord ",YCMY 3Pcs/Lot 0.3m 1m 1.5m 5A USB C Cable Supercharge USB Type C Cable Quick Charging Fast Charger C
16,super fast wireless charger,Psier Wireless Earbuds Sports Wireless Headphones 4 Mic Clear Calls 60H Playtime Ear buds Supports W,"ASAITEKE Compatible with Phone to HDMI Adapter Cable, Digital AV Adapter 1080p HD TV Connector Cord "
17,super fast wireless charger,iPhone Charger[Apple MFi Certified] 6Pack（3/3/6/6/6/10 FT） Lightning Cable Power Fast Charging Cord ,"6.6ft iPhone Charger Cable, 2 Pack [MFi Certified] LED Light up Charger Lightning Cable, Visible Flo"
18,super fast wireless charger,"USB Mini Cable Mini USB 2.0 Cable with Extra Charger, USB Mini B Cord Mini USB Charger Cable Compati","6.6ft iPhone Charger Cable, 2 Pack [MFi Certified] LED Light up Charger Lightning Cable, Visible Flo"
19,super fast wireless charger,iPhone Charger [Apple MFi Certified] 4Pack 3ft 6ft 6ft 10ft iPhone Charging Cables Nylon Braided Lon,"ASAITEKE Compatible with Phone to HDMI Adapter Cable, Digital AV Adapter 1080p HD TV Connector Cord "
20,white gaming mouse for left handed people,alla Wired Mouse USB - 2 Pack Bundle Corded Mice Set Multipack for chromebook Laptop asus dell Lenov,alla Wired Mouse USB - 2 Pack Bundle Corded Mice Set Multipack for chromebook Laptop asus dell Lenov
21,white gaming mouse for left handed people,"Bluetooth Wireless Mouse,Rechargeable Silent Mice for Kid,Dual Mode Ladybug Portable Slim Cordless M","Wireless Mouse, Slim Silent Click Rechargeable 2.4G Wireless Mice 1600DPI Mini Optical Portable Trav"
22,white gaming mouse for left handed people,"hutishop2020 Wired Mouse, USB 2.0 Black Wired Optical Light Scroll Wheel Mice Mouse for Computer PC ","RATEL Wireless Mouse, 2.4G Ergonomic Computer Mouse for Laptop with USB Receiver, Portable Cordless "
23,white gaming mouse for left handed people,"H-Jia Wire Mouse, Gaming Mouse Ergonomic Optical Mouse, 7 Buttons, 4 Adjustable DPI 800/1600/2400/36","Uiosmuph G15 Wireless Mouse, USB C Rechargeable Computer Mouse, Slim Silent Mice 2.4GHz Optical with"
24,white gaming mouse for left handed people,alla Wired Mouse USB - 2 Pack Bundle Corded Mice Set Multipack for chromebook Laptop asus dell Lenov,VANGUARD ALTA Ph-123V Magnesium Alloy Tripod Video Head
